,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),AT (degree C),Temp (degree C),SR (W/mt2),RH (%),WS (m/s),WD (degree),BP (mmHg),RF (mm),SO2 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Eth-Benzene,MP-Xylene,O Xylene,Toluene (ug/m3),VWS (m/s),TOT-RF (mm)
0,21-Jul-2019 - 00:00,21-Jul-2019 - 01:00,,,,,,,,,,,,,,,,,,,,,,,0.0
1,21-Jul-2019 - 01:00,21-Jul-2019 - 02:00,,,,,,,,,,,,,,,,,,,,,,,0.0
2,21-Jul-2019 - 02:00,21-Jul-2019 - 03:00,,,,,,,,,,,,,,,,,,,,,,,0.0
3,21-Jul-2019 - 03:00,21-Jul-2019 - 04:00,,,,,,,,,,,,,,,,,,,,,,,0.0
4,21-Jul-2019 - 04:00,21-Jul-2019 - 05:00,,,,,,,,,,,,,,,,,,,,,,,0.0
5,21-Jul-2019 - 05:00,21-Jul-2019 - 06:00,,,,,,,,,,,,,,,,,,,,,,,0.0
6,21-Jul-2019 - 06:00,21-Jul-2019 - 07:00,,,,,,,,,,,,,,,,,,,,,,,0.0
7,21-Jul-2019 - 07:00,21-Jul-2019 - 08:00,,,,,,,,,,,,,,,,,,,,,,,0.0
8,21-Jul-2019 - 08:00,21-Jul-2019 - 09:00,,,,,,,,,,,,,,,,,,,,,,,0.0
9,21-Jul-2019 - 09:00,21-Jul-2019 - 10:00,,,,,,,,,,,,,,,,,,,,,,,0.0
10,21-Jul-2019 - 10:00,21-Jul-2019 - 11:00,,,,,,,,,,,,,,,,,,,,,,,0.0
11,21-Jul-2019 - 11:00,21-Jul-2019 - 12:00,,,,,,,,,,,,,,,,,,,,,,,0.0
12,21-Jul-2019 - 12:00,21-Jul-2019 - 13:00,,,,,,,,,,,,,,,,,,,,,,,0.0
13,21-Jul-2019 - 13:00,21-Jul-2019 - 14:00,,,,,,,,,,,,,,,,,,,,,,,0.0
14,21-Jul-2019 - 14:00,21-Jul-2019 - 15:00,,,,,,,,,,,,,,,,,,,,,,,0.0
15,21-Jul-2019 - 15:00,21-Jul-2019 - 16:00,,,,,,,,,,,,,,,,,,,,,,,0.0
16,21-Jul-2019 - 16:00,21-Jul-2019 - 17:00,,,,,,,,,,,,,,,,,,,,,,,0.0
17,21-Jul-2019 - 17:00,21-Jul-2019 - 18:00,,,,,,,,,,,,,,,,,,,,,,,0.0
18,21-Jul-2019 - 18:00,21-Jul-2019 - 19:00,,,,,,,,,,,,,,,,,,,,,,,0.0
19,21-Jul-2019 - 19:00,21-Jul-2019 - 20:00,,,,,,,,,,,,,,,,,,,,,,,0.0
20,21-Jul-2019 - 20:00,21-Jul-2019 - 21:00,,,,,,,,,,,,,,,,,,,,,,,0.0
21,21-Jul-2019 - 21:00,21-Jul-2019 - 22:00,,,,,,,,,,,,,,,,,,,,,,,0.0
22,21-Jul-2019 - 22:00,21-Jul-2019 - 23:00,,,,,,,,,,,,,,,,,,,,,,,0.0
23,21-Jul-2019 - 23:00,22-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,0.0
24,22-Jul-2019 - 00:00,22-Jul-2019 - 01:00,,,,,,,,,,,,,,,,,,,,,,,0.0
25,22-Jul-2019 - 01:00,22-Jul-2019 - 02:00,,,,,,,,,,,,,,,,,,,,,,,0.0
26,22-Jul-2019 - 02:00,22-Jul-2019 - 03:00,,,,,,,,,,,,,,,,,,,,,,,0.0
27,22-Jul-2019 - 03:00,22-Jul-2019 - 04:00,,,,,,,,,,,,,,,,,,,,,,,0.0
