,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),AT (degree C),SR (W/mt2),RH (%),WS (m/s),WD (degree),BP (mmHg),RF (mm),SO2 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),TOT-RF (mm)
0,20-Jun-2021 - 00:00,20-Jun-2021 - 01:00,,,,,,,,,,,,,,,,,,,,,,,0.0
1,20-Jun-2021 - 01:00,20-Jun-2021 - 02:00,,,,,,,,,,,,,,,,,,,,,,,0.0
2,20-Jun-2021 - 02:00,20-Jun-2021 - 03:00,,,,,,,,,,,,,,,,,,,,,,,0.0
3,20-Jun-2021 - 03:00,20-Jun-2021 - 04:00,,,,,,,,,,,,,,,,,,,,,,,0.0
4,20-Jun-2021 - 04:00,20-Jun-2021 - 05:00,,,,,,,,,,,,,,,,,,,,,,,0.0
5,20-Jun-2021 - 05:00,20-Jun-2021 - 06:00,,,,,,,,,,,,,,,,,,,,,,,0.0
6,20-Jun-2021 - 06:00,20-Jun-2021 - 07:00,,,,,,,,,,,,,,,,,,,,,,,0.0
7,20-Jun-2021 - 07:00,20-Jun-2021 - 08:00,,,,,,,,,,,,,,,,,,,,,,,0.0
8,20-Jun-2021 - 08:00,20-Jun-2021 - 09:00,,,,,,,,,,,,,,,,,,,,,,,0.0
9,20-Jun-2021 - 09:00,20-Jun-2021 - 10:00,,,,,,,,,,,,,,,,,,,,,,,0.0
10,20-Jun-2021 - 10:00,20-Jun-2021 - 11:00,,,,,,,,,,,,,,,,,,,,,,,0.0
11,20-Jun-2021 - 11:00,20-Jun-2021 - 12:00,,,,,,,,,,,,,,,,,,,,,,,0.0
12,20-Jun-2021 - 12:00,20-Jun-2021 - 13:00,,,,,,,,,,,,,,,,,,,,,,,0.0
13,20-Jun-2021 - 13:00,20-Jun-2021 - 14:00,,,,,,,,,,,,,,,,,,,,,,,0.0
14,20-Jun-2021 - 14:00,20-Jun-2021 - 15:00,,,,,,,,,,,,,,,,,,,,,,,0.0
15,20-Jun-2021 - 15:00,20-Jun-2021 - 16:00,,,,,,,,,,,,,,,,,,,,,,,0.0
16,20-Jun-2021 - 16:00,20-Jun-2021 - 17:00,,,,,,,,,,,,,,,,,,,,,,,0.0
17,20-Jun-2021 - 17:00,20-Jun-2021 - 18:00,,,,,,,,,,,,,,,,,,,,,,,0.0
18,20-Jun-2021 - 18:00,20-Jun-2021 - 19:00,,,,,,,,,,,,,,,,,,,,,,,0.0
19,20-Jun-2021 - 19:00,20-Jun-2021 - 20:00,,,,,,,,,,,,,,,,,,,,,,,0.0
20,20-Jun-2021 - 20:00,20-Jun-2021 - 21:00,,,,,,,,,,,,,,,,,,,,,,,0.0
21,20-Jun-2021 - 21:00,20-Jun-2021 - 22:00,,,,,,,,,,,,,,,,,,,,,,,0.0
22,20-Jun-2021 - 22:00,20-Jun-2021 - 23:00,,,,,,,,,,,,,,,,,,,,,,,0.0
23,20-Jun-2021 - 23:00,21-Jun-2021 - 00:00,,,,,,,,,,,,,,,,,,,,,,,0.0
24,21-Jun-2021 - 00:00,21-Jun-2021 - 01:00,,,,,,,,,,,,,,,,,,,,,,,0.0
25,21-Jun-2021 - 01:00,21-Jun-2021 - 02:00,,,,,,,,,,,,,,,,,,,,,,,0.0
26,21-Jun-2021 - 02:00,21-Jun-2021 - 03:00,,,,,,,,,,,,,,,,,,,,,,,0.0
27,21-Jun-2021 - 03:00,21-Jun-2021 - 04:00,,,,,,,,,,,,,,,,,,,,,,,0.0
28,21-Jun-2021 - 04:00,21-Jun-2021 - 05:00,,,,,,,,,,,,,,,,,,,,,,,0.0
29,21-Jun-2021 - 05:00,21-Jun-2021 - 06:00,,,,,,,,,,,,,,,,,,,,,,,0.0
30,21-Jun-2021 - 06:00,21-Jun-2021 - 07:00,,,,,,,,,,,,,,,,,,,,,,,0.0
31,21-Jun-2021 - 07:00,21-Jun-2021 - 08:00,,,,,,,,,,,,,,,,,,,,,,,0.0
32,21-Jun-2021 - 08:00,21-Jun-2021 - 09:00,,,,,,,,,,,,,,,,,,,,,,,0.0
33,21-Jun-2021 - 09:00,21-Jun-2021 - 10:00,,,,,,,,,,,,,,,,,,,,,,,0.0
34,21-Jun-2021 - 10:00,21-Jun-2021 - 11:00,,,,,,,,,,,,,,,,,,,,,,,0.0
35,21-Jun-2021 - 11:00,21-Jun-2021 - 12:00,,,,,,,,,,,,,,,,,,,,,,,0.0
36,21-Jun-2021 - 12:00,21-Jun-2021 - 13:00,,,,,,,,,,,,,,,,,,,,,,,0.0
37,21-Jun-2021 - 13:00,21-Jun-2021 - 14:00,,,,,,,,,,,,,,,,,,,,,,,0.0
38,21-Jun-2021 - 14:00,21-Jun-2021 - 15:00,,,,,,,,,,,,,,,,,,,,,,,0.0
39,21-Jun-2021 - 15:00,21-Jun-2021 - 16:00,,,,,,,,,,,,,,,,,,,,,,,0.0
40,21-Jun-2021 - 16:00,21-Jun-2021 - 17:00,,,,,,,,,,,,,,,,,,,,,,,0.0
41,21-Jun-2021 - 17:00,21-Jun-2021 - 18:00,,,,,,,,,,,,,,,,,,,,,,,0.0
42,21-Jun-2021 - 18:00,21-Jun-2021 - 19:00,,,,,,,,,,,,,,,,,,,,,,,0.0
43,21-Jun-2021 - 19:00,21-Jun-2021 - 20:00,,,,,,,,,,,,,,,,,,,,,,,0.0
44,21-Jun-2021 - 20:00,21-Jun-2021 - 21:00,,,,,,,,,,,,,,,,,,,,,,,0.0
45,21-Jun-2021 - 21:00,21-Jun-2021 - 22:00,,,,,,,,,,,,,,,,,,,,,,,0.0
46,21-Jun-2021 - 22:00,21-Jun-2021 - 23:00,,,,,,,,,,,,,,,,,,,,,,,0.0
47,21-Jun-2021 - 23:00,22-Jun-2021 - 00:00,,,,,,,,,,,,,,,,,,,,,,,0.0
48,22-Jun-2021 - 00:00,22-Jun-2021 - 01:00,,,,,,,,,,,,,,,,,,,,,,,0.0
49,22-Jun-2021 - 01:00,22-Jun-2021 - 02:00,,,,,,,,,,,,,,,,,,,,,,,0.0
50,22-Jun-2021 - 02:00,22-Jun-2021 - 03:00,,,,,,,,,,,,,,,,,,,,,,,0.0
51,22-Jun-2021 - 03:00,22-Jun-2021 - 04:00,,,,,,,,,,,,,,,,,,,,,,,0.0
52,22-Jun-2021 - 04:00,22-Jun-2021 - 05:00,,,,,,,,,,,,,,,,,,,,,,,0.0
53,22-Jun-2021 - 05:00,22-Jun-2021 - 06:00,,,,,,,,,,,,,,,,,,,,,,,0.0
54,22-Jun-2021 - 06:00,22-Jun-2021 - 07:00,,,,,,,,,,,,,,,,,,,,,,,0.0
55,22-Jun-2021 - 07:00,22-Jun-2021 - 08:00,,,,,,,,,,,,,,,,,,,,,,,0.0
